Cars,Price,Mileage
2015 Audi A3 4dr Sdn quattro 2.0T Technik,"$20,555","Mileage 90,000 km"
2015 Hyundai Genesis Sedan 4dr Sdn Technology,"$19,999","Mileage 98,852 km"
2013 Audi A6 4dr Sdn quattro 3.0T Premium,"$19,500","Mileage 58,000 km"
2016 Hyundai Sonata 4dr Sdn 2.4L Auto GL,"$12,999","Mileage 68,000 km"
2016 Kia Forte 4dr Sdn Auto EX w/Sunroof,"$11,900","Mileage 60,000 km"
2016 Chrysler 200 4dr Sdn LX FWD,"$11,500","Mileage 67,000 km"
2013 Kia Optima Hybrid 4dr Sdn Hybrid,"$11,264","Mileage 93,300 km"
2004 Pontiac Grand Am 4dr Sdn GT,"$2,200","Mileage 245,000 km"
2018 BMW M5 Sedan,"$130,000","Mileage 33,708 km"
2018 BMW M5 Sedan,"$130,000","Mileage 33,708 km"
2015 Kia Optima 4dr Sdn Auto EX,"$90,000","Mileage 120,000 km"
2017 Audi S8 4dr Sdn Plus,"$88,888","Mileage 26,000 km"
2016 Jaguar XJ 4dr Sdn XJL XJR RWD,"$72,999","Mileage 19,200 km"
2015 BMW M5 4dr Sdn,"$55,000","Mileage 50,000 km"
2017 Cadillac CT6 4dr Sdn 2.0L PLUG-IN RWD,"$55,000","Mileage 35,300 km"
2018 Mercedes-Benz E-Class E 400 4MATIC Sedan,"$52,000","Mileage 52,000 km"
2018 Mercedes-Benz C-Class AMG C 43 4MATIC Sedan,"$49,000","Mileage 34,000 km"
2012 BMW M5 4dr Sdn,"$48,500","Mileage 34,000 km"
2018 BMW 3 Series 340i xDrive Sedan,"$48,000","Mileage 20,688 km"
2014 BMW M6 4dr Sdn Gran Coupe,"$47,000","Mileage 62,000 km"
2018 Audi A6 2.0 TFSI quattro Progressiv tiptronic,"$46,500","Mileage 18,000 km"
2018 Kia Stinger GT Limited AWD w/Red Interior,"$46,500","Mileage 9,900 km"
2017 Lexus IS 300 4dr Sdn AWD,"$45,000","Mileage 57,574 km"
2018 Infiniti Q50 3.0t Signature Edition AWD,"$45,000","Mileage 2,700 km"
2017 Mercedes-Benz E-Class 4dr Sdn E 300 4MATIC,"$44,000","Mileage 40,000 km"
2015 Audi A8 4dr Sdn 4.0T,"$42,038","Mileage 61,500 km"
2019 Genesis G70 3.3T Sport AWD,"$42,000","Mileage 38,000 km"
2019 Genesis G70 3.3T Sport AWD,"$42,000","Mileage 38,000 km"
2014 Jaguar XJ 4dr Sdn XJR,"$41,500","Mileage 89,000 km"
2017 BMW 3 Series 4dr Sdn 340i xDrive AWD,"$41,000","Mileage 48,268 km"
2016 BMW 5 Series 4dr Sdn 550i xDrive AWD,"$40,888","Mileage 69,700 km"
2017 BMW 5 Series 4dr Sdn 530i xDrive AWD,"$40,000","Mileage 35,000 km"
2018 Chrysler 300 300 Touring RWD,"$40,000","Mileage 61,000 km"
2017 BMW 3 Series 4dr Sdn 340i xDrive AWD,"$39,000","Mileage 48,268 km"
